,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,FALSE
Braviary,Normal,Flying,Keen Eye,Sheer Force,Defiant,Flying,—,021,5355,100,123,75,57,75,80,510,85.00,FALSE
Vullaby,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Flying,—,021,5355,70,55,75,45,65,60,370,61.67,FALSE
Mandibuzz,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Flying,—,021,5355,110,65,105,55,95,80,510,85.00,FALSE
Heatmor,Fire,—,Gluttony,Flash Fire,White Smoke,Field,—,021,5355,85,97,66,105,66,65,484,80.67,FALSE
Durant,Bug,Steel,Swarm,Hustle,Truant,Bug,—,021,5355,58,109,112,48,48,109,484,80.67,FALSE
Deino,Dark,Dragon,Hustle,—,—,Dragon,—,041,10455,52,65,50,45,50,38,300,50.00,FALSE
Zweilous,Dark,Dragon,Hustle,—,—,Dragon,—,041,10455,72,85,70,65,70,58,420,70.00,FALSE
Hydreigon,Dark,Dragon,Levitate,—,—,Dragon,—,041,10455,92,105,90,125,90,98,600,100.00,FALSE
Larvesta,Bug,Fire,Flame Body,—,Swarm,Bug,—,041,10455,55,85,55,50,55,60,360,60.00,FALSE
Volcarona,Bug,Fire,Flame Body,—,Swarm,Bug,—,041,10455,85,60,65,135,105,100,550,91.67,FALSE
Cobalion,Steel,Fighting,Justified,—,—,Undiscovered,—,081,20655,91,90,129,90,72,108,580,96.67,FALSE
Terrakion,Rock,Fighting,Justified,—,—,Undiscovered,—,081,20655,91,129,90,72,90,108,580,96.67,FALSE
Virizion,Grass,Fighting,Justified,—,—,Undiscovered,—,081,20655,91,90,72,90,129,108,580,96.67,FALSE
Tornadus,Flying,—,Prankster,—,Defiant,Undiscovered,—,121,30855,79,115,70,125,80,111,580,96.67,FALSE
Thundurus,Electric,Flying,Prankster,—,Defiant,Undiscovered,—,121,30855,79,115,70,125,80,111,580,96.67,FALSE
Reshiram,Dragon,Fire,Turboblaze,—,—,Undiscovered,—,121,30855,100,120,100,150,120,90,680,113.33,FALSE
Zekrom,Dragon,Electric,Teravolt,—,—,Undiscovered,—,121,30855,100,150,120,120,100,90,680,113.33,FALSE
Landorus,Ground,Flying,Sand Force,—,Sheer Force,Undiscovered,—,121,30855,89,125,90,115,80,101,600,100.00,FALSE
Kyurem,Dragon,Ice,Pressure,—,—,Undiscovered,—,121,30855,125,130,90,130,90,95,660,110.00,FALSE
Keldeo,Water,Fighting,Justified,—,—,Undiscovered,—,081,20655,91,72,90,129,90,108,580,96.67,FALSE
Meloetta,Normal,Psychic,Serene Grace,—,—,Undiscovered,—,021,5355,100,77,77,128,128,90,600,100.00,FALSE
Genesect,Bug,Steel,Download,—,—,Undiscovered,—,121,30855,71,120,95,120,95,99,600,100.00,FALSE
Chespin,Grass,—,Overgrow,—,Bulletproof,Field,—,021,5355,56,61,65,48,45,38,313,52.17,FALSE
Quilladin,Grass,—,Overgrow,—,Bulletproof,Field,—,021,5355,61,78,95,56,58,57,405,67.50,FALSE
Chesnaught,Grass,Fighting,Overgrow,—,Bulletproof,Field,—,021,5355,88,107,122,74,75,64,530,88.33,FALSE
Fennekin,Fire,—,Blaze,—,Magician,Field,—,021,5355,40,45,40,62,60,60,307,51.17,FALSE
Braixen,Fire,—,Blaze,—,Magician,Field,—,021,5355,59,59,58,90,70,73,409,68.17,FALSE
Delphox,Fire,Psychic,Blaze,—,Magician,Field,—,021,5355,75,69,72,114,100,104,534,89.00,FALSE
Froakie,Water,—,Torrent,—,Protean,Water 1,—,021,5355,41,56,40,62,44,71,314,52.33,FALSE
Frogadier,Water,—,Torrent,—,Protean,Water 1,—,021,5355,54,63,52,83,56,97,405,67.50,FALSE
Greninja,Water,Dark,Torrent,—,Protean,Water 1,—,021,5355,72,95,67,103,71,122,530,88.33,FALSE
Greninja: Ash,Water,Dark,Battle Bond,—,—,—,—,—,—,72,145,67,153,71,132,640,106.67,TRUE
Bunnelby,Normal,—,Pickup,Cheek Pouch,Huge Power,Field,—,015,3840,38,36,38,32,36,57,237,39.50,FALSE
Diggersby,Normal,Ground,Pickup,Cheek Pouch,Huge Power,Field,—,015,3840,85,56,77,50,77,78,423,70.50,FALSE
Fletchling,Normal,Flying,Big Pecks,—,Gale Wings,Flying,—,015,3840,45,50,43,40,38,62,278,46.33,FALSE
Fletchinder,Fire,Flying,Flame Body,—,Gale Wings,Flying,—,015,3840,62,73,55,56,52,84,382,63.67,FALSE
Talonflame,Fire,Flying,Flame Body,—,Gale Wings,Flying,—,015,3840,78,81,71,74,69,126,499,83.17,FALSE
Scatterbug,Bug,—,Shield Dust,Compound Eyes,Friend Guard,Bug,—,015,3840,38,35,40,27,25,35,200,33.33,FALSE
Spewpa,Bug,—,Shed Skin,—,Friend Guard,Bug,—,015,3840,45,22,60,27,30,29,213,35.50,FALSE
Vivillon,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Bug,—,015,3840,80,52,50,90,50,89,411,68.50,FALSE
Litleo,Fire,Normal,Rivalry,Unnerve,Moxie,Field,—,020,5120,62,50,58,73,54,72,369,61.50,FALSE
Pyroar,Fire,Normal,Rivalry,Unnerve,Moxie,Field,—,020,5120,86,68,72,109,66,106,507,84.50,FALSE
Flabébé,Fairy,—,Flower Veil,—,Symbiosis,Fairy,—,020,5120,44,38,39,61,79,42,303,50.50,FALSE
Floette,Fairy,—,Flower Veil,—,Symbiosis,Fairy,—,020,5120,54,45,47,75,98,52,371,61.83,FALSE
Florges,Fairy,—,Flower Veil,—,Symbiosis,Fairy,—,020,5120,78,65,68,112,154,75,552,92.00,FALSE
Skiddo,Grass,—,Sap Sipper,—,Grass Pelt,Field,—,020,5120,66,65,48,62,57,52,350,58.33,FALSE
Gogoat,Grass,—,Sap Sipper,—,Grass Pelt,Field,—,020,5120,123,100,62,97,81,68,531,88.50,FALSE
Pancham,Fighting,—,Iron Fist,Mold Breaker,Scrappy,Field,Human-Like,025,6400,67,82,62,46,48,43,348,58.00,FALSE
Pangoro,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,Field,Human-Like,025,6400,95,124,78,69,71,58,495,82.50,FALSE
Furfrou,Normal,—,Fur Coat,—,—,Field,—,020,5120,75,80,60,65,90,102,472,78.67,FALSE
Espurr,Psychic,—,Keen Eye,Infiltrator,Own Tempo,Field,—,020,5120,62,48,54,63,60,68,355,59.17,FALSE
Meowstic,Psychic,—,Keen Eye,Infiltrator,Prankster,Field,—,020,5120,74,48,76,83,81,104,466,77.67,FALSE
Honedge,Steel,Ghost,No Guard,—,—,Mineral,—,020,5120,45,80,100,35,37,28,325,54.17,FALSE
Doublade,Steel,Ghost,No Guard,—,—,Mineral,—,020,5120,59,110,150,45,49,35,448,74.67,FALSE
Aegislash,Steel,Ghost,Stance Change,—,—,Mineral,—,020,5120,60,150,50,150,50,60,520,86.67,FALSE
Spritzee,Fairy,—,Healer,—,Aroma Veil,Fairy,—,020,5120,78,52,60,63,65,23,341,56.83,FALSE
Aromatisse,Fairy,—,Healer,—,Aroma Veil,Fairy,—,020,5120,101,72,72,99,89,29,462,77.00,FALSE
Swirlix,Fairy,—,Sweet Veil,—,Unburden,Fairy,—,020,5120,62,48,66,59,57,49,341,56.83,FALSE
Slurpuff,Fairy,—,Sweet Veil,—,Unburden,Fairy,—,020,5120,82,80,86,85,75,72,480,80.00,FALSE
Inkay,Dark,Psychic,Contrary,Suction Cups,Infiltrator,Water 1,Water 2,020,5120,53,54,53,37,46,45,288,48.00,FALSE
Malamar,Dark,Psychic,Contrary,Suction Cups,Infiltrator,Water 1,Water 2,020,5120,86,92,88,68,75,73,482,80.33,FALSE
Binacle,Rock,Water,Tough Claws,Sniper,Pickpocket,Water 3,—,020,5120,42,52,67,39,56,50,306,51.00,FALSE
Barbaracle,Rock,Water,Tough Claws,Sniper,Pickpocket,Water 3,—,020,5120,72,105,115,54,86,68,500,83.33,FALSE
Skrelp,Poison,Water,Poison Point,Poison Touch,Adaptability,Water 1,Dragon,020,5120,50,60,60,60,60,30,320,53.33,FALSE
Dragalge,Poison,Dragon,Poison Point,Poison Touch,Adaptability,Water 1,Dragon,020,5120,65,75,90,97,123,44,494,82.33,FALSE
Clauncher,Water,—,Mega Launcher,—,—,Water 1,Water 3,015,3840,50,53,62,58,63,44,330,55.00,FALSE
Clawitzer,Water,—,Mega Launcher,—,—,Water 1,Water 3,015,3840,71,73,88,120,89,59,500,83.33,FALSE
Helioptile,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Monster,Dragon,020,5120,44,38,33,61,43,70,289,48.17,FALSE
Heliolisk,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Monster,Dragon,020,5120,62,55,52,109,94,109,481,80.17,FALSE
Tyrunt,Rock,Dragon,Strong Jaw,—,Sturdy,Monster,Dragon,030,7680,58,89,77,45,45,48,362,60.33,FALSE
Tyrantrum,Rock,Dragon,Strong Jaw,—,Rock Head,Monster,Dragon,030,7680,82,121,119,69,59,71,521,86.83,FALSE
Amaura,Rock,Ice,Refrigerate,—,Snow Warning,Monster,—,030,7680,77,59,50,67,63,46,362,60.33,FALSE
Aurorus,Rock,Ice,Refrigerate,—,Snow Warning,Monster,—,030,7680,123,77,72,99,92,58,521,86.83,FALSE
Sylveon,Fairy,—,Cute Charm,—,Pixilate,Field,—,036,9180,95,65,65,110,130,60,525,87.50,FALSE
Hawlucha,Fighting,Flying,Limber,Unburden,Mold Breaker,Human-Like,—,020,5120,78,92,75,74,63,118,500,83.33,FALSE
Dedenne,Electric,Fairy,Cheek Pouch,Pickup,Plus,Field,Fairy,020,5120,67,58,57,81,67,101,431,71.83,FALSE
Carbink,Rock,Fairy,Clear Body,—,Sturdy,Fairy,Mineral,025,6400,50,50,150,50,150,50,500,83.33,FALSE
Goomy,Dragon,—,Sap Sipper,Hydration,Gooey,Dragon,—,040,10240,45,50,35,55,75,40,300,50.00,FALSE
Sliggoo,Dragon,—,Sap Sipper,Hydration,Gooey,Dragon,—,040,10240,68,75,53,83,113,60,452,75.33,FALSE
Goodra,Dragon,—,Sap Sipper,Hydration,Gooey,Dragon,—,040,10240,90,100,70,110,150,80,600,100.00,FALSE
Klefki,Steel,Fairy,Prankster,—,Magician,Mineral,—,020,5120,57,80,91,80,87,75,470,78.33,FALSE
Phantump,Ghost,Grass,Natural Cure,Frisk,Harvest,Grass,Amorphous,020,5120,43,70,48,50,60,38,309,51.50,FALSE
Trevenant,Ghost,Grass,Natural Cure,Frisk,Harvest,Grass,Amorphous,020,5120,85,110,76,65,82,56,474,79.00,FALSE
Pumpkaboo,Ghost,Grass,Pickup,Frisk,Insomnia,Amorphous,—,021,5355,49,66,70,44,55,51,335,55.83,FALSE
Gourgeist,Ghost,Grass,Pickup,Frisk,Insomnia,Amorphous,—,021,5355,65,90,122,58,75,84,494,82.33,FALSE
Bergmite,Ice,—,Own Tempo,Ice Body,Sturdy,Monster,—,020,5120,55,69,85,32,35,28,304,50.67,FALSE
Avalugg,Ice,—,Own Tempo,Ice Body,Sturdy,Monster,—,020,5120,95,117,184,44,46,28,514,85.67,FALSE
Noibat,Flying,Dragon,Frisk,Infiltrator,Telepathy,Flying,—,021,5355,40,30,35,45,40,55,245,40.83,FALSE
Noivern,Flying,Dragon,Frisk,Infiltrator,Telepathy,Flying,—,021,5355,85,70,80,97,80,123,535,89.17,FALSE
Xerneas,Fairy,—,Fairy Aura,—,—,Undiscovered,—,000,0,126,131,95,131,98,99,680,113.33,FALSE
Yveltal,Dark,Flying,Dark Aura,—,—,Undiscovered,—,000,0,126,131,95,131,98,99,680,113.33,FALSE
Zygarde (Complete),Dragon,Ground,Aura Break,—,Power Construct,Undiscovered,—,000,0,216,100,121,91,95,85,708,118.00,FALSE
Zygarde (50%),Dragon,Ground,Aura Break,—,Power Construct,Undiscovered,—,000,0,108,100,121,81,95,95,600,100.00,TRUE
Zygarde (10%),Dragon,Ground,Aura Break,—,Power Construct,Undiscovered,—,000,0,54,100,71,61,85,115,486,81.00,TRUE
Diancie,Rock,Fairy,Clear Body,—,—,Undiscovered,—,000,0,50,100,150,100,150,50,600,100.00,FALSE
Hoopa,Psychic,Ghost,Magician,—,—,Undiscovered,—,000,0,80,110,60,150,130,70,600,100.00,FALSE
Volcanion,Fire,Water,Water Absorb,—,—,Undiscovered,—,000,0,80,110,120,130,90,70,600,100.00,FALSE
Rowlet,Grass,Flying,Overgrow,Long Reach,—,Flying,—,,3840,68,55,55,50,50,42,320,53.33,FALSE
Dartrix,Grass,Flying,Overgrow,Long Reach,—,Flying,—,,3840,78,75,75,70,70,52,420,70.00,FALSE
Decidueye,Grass,Ghost,Overgrow,Long Reach,—,Flying,—,,3840,78,107,75,100,100,70,530,88.33,FALSE
Litten,Fire,—,Blaze,Intimidate,—,Field,—,,3840,45,65,40,60,40,70,320,53.33,FALSE
Torracat,Fire,—,Blaze,Intimidate,—,Field,—,,3840,65,85,50,80,50,90,420,70.00,FALSE
Incineroar,Fire,Dark,Blaze,Intimidate,—,Field,—,,3840,95,115,90,80,90,60,530,88.33,FALSE
Popplio,Water,—,Torrent,Liquid Voice,—,Water 1,Field,,3840,50,54,54,66,56,40,320,53.33,FALSE
Brionne,Water,—,Torrent,Liquid Voice,—,Water 1,Field,,3840,60,69,69,91,81,50,420,70.00,FALSE
Primarina,Water,Fairy,Torrent,Liquid Voice,—,Water 1,Field,,3840,80,74,74,126,116,60,530,88.33,FALSE
Pikipek,Normal,Flying,Keen Eye,Skill Link,Pickup,Flying,—,,3840,35,75,30,30,30,65,265,44.17,FALSE
Trumbeak,Normal,Flying,Keen Eye,Skill Link,Pickup,Flying,—,,3840,55,85,50,40,50,75,355,59.17,FALSE
Toucannon,Normal,Flying,Keen Eye,Skill Link,Pickup,Flying,—,,3840,80,120,75,75,75,60,485,80.83,FALSE
Yungoos,Normal,—,Stakeout,Strong Jaw,Adaptability,Field,,,3840,48,70,30,30,30,45,253,42.17,FALSE
Gumshoos,Normal,—,Stakeout,Strong Jaw,Adaptability,Field,,,3840,88,110,60,55,60,45,418,69.67,FALSE
Grubbin,Bug,—,Swarm,—,—,Bug,—,,3840,47,62,45,55,45,46,300,50.00,FALSE
Charjabug,Bug,Electric,Battery,—,—,Bug,—,,3840,57,82,95,55,75,36,400,66.67,FALSE
Vikavolt,Bug,Electric,Levitate,—,—,Bug,—,,3840,77,70,90,145,75,43,500,83.33,FALSE
Crabrawler,Fighting,—,Hyper Cutter,Iron Fist,Anger Point,Water 3,—,,5120,47,82,57,42,47,63,338,56.33,FALSE
Crabominable,Fighting,Ice,Hyper Cutter,Iron Fist,Anger Point,Water 4,—,,5120,97,132,77,62,67,43,478,79.67,FALSE
Oricorio (Baile),Fire,Flying,Dancer,—,—,Flying,—,,5120,75,70,70,98,70,93,476,79.33,FALSE
Oricorio (Pom-Pom),Electric,Flying,Dancer,—,—,Flying,—,,5120,75,70,70,98,70,93,476,79.33,TRUE
Oricorio (P'au),Psychic,Flying,Dancer,—,—,Flying,—,,5120,75,70,70,98,70,93,476,79.33,TRUE
Oricorio (Sensu),Ghost,Flying,Dancer,—,—,Flying,—,,5120,75,70,70,98,70,93,476,79.33,TRUE
Cutiefly,Bug,Fairy,Honey Gather,Shield Dust,Sweet Veil,Bug,Fairy,,5120,40,45,40,55,40,84,304,50.67,FALSE
Ribombee,Bug,Fairy,Honey Gather,Shield Dust,Sweet Veil,Bug,Fairy,,5120,60,55,60,95,70,124,464,77.33,FALSE
Rockruff,Rock,—,Keen Eye,Vital Spirit,Steadfast,Field,—,,3840,45,65,40,30,40,60,280,46.67,FALSE
Lycanroc: Midday,Rock,—,Keen Eye,Sand Rush,Steadfast,Field,—,,3840,75,115,65,55,65,112,487,81.17,FALSE
Lycanroc: Midnight,Rock,—,Keen Eye,Vital Spirit,No Guard,Field,—,,3840,85,115,75,55,75,82,487,81.17,TRUE
Wishiwashi: Solo,Water,—,Schooling,—,—,Water 2,—,,3840,45,20,20,25,25,40,175,29.17,FALSE
Wishiwashi: Schooling,Water,—,Schooling,—,—,Water 2,—,,3840,45,140,130,140,135,30,620,103.33,TRUE
Mareanie,Poison,Water,Merciless,Limber,Regenerator,Water 1,—,,5120,50,53,62,43,52,45,305,50.83,FALSE
Toxapex,Poison,Water,Merciless,Limber,Regenerator,Water 2,—,,5120,50,63,152,53,142,35,495,82.50,FALSE
Mudbray,Ground,—,Own Tempo,Stamina,Inner Focus,Field,—,,5120,70,100,70,45,55,45,385,64.17,FALSE
Mudsdale,Ground,—,Own Tempo,Stamina,Inner Focus,Field,—,,5120,100,125,100,55,85,35,500,83.33,FALSE
Dewpider,Water,Bug,Water Bubble,—,Water Absorb,Water 1,Bug,,3840,38,40,52,40,72,27,269,44.83,FALSE
Araquanid,Water,Bug,Water Bubble,—,Water Absorb,Water 2,Bug,,3840,68,70,92,50,132,42,454,75.67,FALSE
Fomantis,Grass,—,Leaf Guard,—,Contrary,Grass,—,,5120,40,55,35,50,35,35,250,41.67,FALSE
Lurantis,Grass,—,Leaf Guard,—,Contrary,Grass,—,,5120,70,105,90,80,90,45,480,80.00,FALSE
Morelull,Grass,Fairy,Illuminate,Effect Spore,Rain Dish,Grass,—,,5120,40,35,55,65,75,15,285,47.50,FALSE
Shiinotic,Grass,Fairy,Illuminate,Effect Spore,Rain Dish,Grass,—,,5120,60,45,80,90,100,30,405,67.50,FALSE
Salandit,Poison,Fire,Corrosion,—,Oblivious,Monster,Dragon,,5120,48,44,40,71,40,77,320,53.33,FALSE
Salazzle,Poison,Fire,Corrosion,—,Oblivious,Monster,Dragon,,5120,68,64,60,11,60,117,380,63.33,FALSE
Stufful,Normal,Fighting,Fluffy,Klutz,Cute Charm,Field,—,,3840,70,75,50,45,50,50,340,56.67,FALSE
Bewear,Normal,Fighting,Fluffy,Klutz,Cute Charm,Field,—,,3840,120,125,80,55,60,60,500,83.33,FALSE
Bounsweet,Grass,—,Leaf Guard,Oblivious,Sweet Veil,Grass,—,,,42,30,38,30,38,32,210,35.00,FALSE
Steenee,Grass,—,Leaf Guard,Oblivious,Sweet Veil,Grass,—,,,52,40,48,40,48,62,290,48.33,FALSE
Tsareena,Grass,—,Leaf Guard,Oblivious,Sweet Veil,Grass,—,,,72,120,98,50,98,72,510,85.00,FALSE
Comfey,Fairy,,Flower Veil,Hidden Ability,Natural Cure,Grass,,,5120,51,52,90,82,110,100,485,80.83,FALSE
Oranguru,Normal,Psychic,Inner Focus,Telepathy,Symbiosis,Field,,,5120,90,60,80,90,110,60,490,81.67,FALSE
Passimian,Fighting,—,Receiver,—,Defiant,Field,,,5120,100,120,90,40,60,80,490,81.67,FALSE
Wimpod,Bug,Water,Wimp Out,—,—,Bug,Water 3,,5120,25,35,40,20,30,80,230,38.33,FALSE
Golisopod,Bug,Water,Emergency Exit,—,—,Bug,Water 3,,5120,75,125,140,60,90,40,530,88.33,FALSE
Sandygast,Ghost,Ground,Water Compaction,—,Sand Veil,Amorphous,—,,3840,55,55,80,70,45,15,320,53.33,FALSE
Palossand,Ghost,Ground,Water Compaction,—,Sand Veil,Amorphous,—,,3840,85,75,110,100,75,35,480,80.00,FALSE
Pyukumuku,Water,—,Innards Out,—,Unaware,Water 1,—,,3840,55,60,130,30,130,5,410,68.33,FALSE
Type: Null,Normal,—,Battle Armor,—,—,—,—,,30720,95,95,95,95,95,59,534,89.00,FALSE
Silvally,Normal,—,RKS System,—,—,—,—,,30720,95,95,95,95,95,95,570,95.00,FALSE
Minior,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,60,100,60,100,60,440,73.33,FALSE
Minior: Blue Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Minior: Green Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Minior: Indigo Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Minior: Orange Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Minior: Red Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Minior: Violet Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Minior: Yellow Core,Rock,Flying,Shields Down,—,—,Mineral,—,,6400,60,100,60,100,60,120,500,83.33,TRUE
Komala,Normal,—,Comatose,—,—,Field,—,,5120,65,115,65,75,95,65,480,80.00,FALSE
Turtonator,Fire,Dragon,Shell Armor,—,—,Monster,Dragon,,5120,60,78,135,91,85,36,485,80.83,FALSE
Togedemaru,Electric,Steel,Iron Barbs,Lightning Rod,Sturdy,Field,Fairy,,2560,65,98,63,40,73,96,435,72.50,FALSE
Mimikyu,Ghost,Fairy,Disguise,—,—,Amorphous,—,,5120,55,90,80,50,105,96,476,79.33,FALSE
Bruxish,Water,Psychic,Dazzling,Strong Jaw,Wonder Skin,Water 2,—,,3840,68,105,70,70,70,92,475,79.17,FALSE
Drampa,Normal,Dragon,Berserk,Sap Sipper,Cloud Nine,Monster,Dragon,,5120,78,60,85,135,91,36,485,80.83,FALSE
Dhelmise,Ghost,Grass,Steelworker,—,—,Mineral,—,,6400,70,131,100,86,90,40,517,86.17,FALSE
Jangmo-o,Dragon,—,Bulletproof,Soundproof,Overcoat,Dragon,—,,10240,45,55,65,45,45,45,300,50.00,FALSE
Hakamo-o,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,Dragon,—,,10240,55,75,90,65,70,65,420,70.00,FALSE
Kommo-o,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,Dragon,—,,10240,75,110,125,100,105,85,600,100.00,FALSE
Tapu Koko,Electric,Fairy,Electric Surge,Telepathy,—,—,—,,3840,70,115,85,95,75,130,570,95.00,FALSE
Tapu Lele,Psychic,Fairy,Psychic Surge,Telepathy,—,—,—,,3840,70,85,75,130,115,95,570,95.00,FALSE
Tapu Bulu,Grass,Fairy,Grassy Surge,Telepathy,—,—,—,,3840,70,130,115,85,95,75,570,95.00,FALSE
Tapu Fini,Water,Fairy,Misty Surge,Telepathy,—,—,—,,3840,70,75,115,95,130,85,570,95.00,FALSE
Cosmog,Psychic,—,Unaware,—,—,—,—,,30720,43,29,31,29,31,37,200,33.33,FALSE
Cosmoem,Psychic,—,Sturdy,—,—,—,—,,30720,43,29,131,29,131,37,400,66.67,FALSE
Solgaleo,Psychic,Steel,Full Metal Body,—,—,—,—,,30720,137,137,107,113,89,97,680,113.33,FALSE
Lunala,Psychic,Ghost,Shadow Shield,—,—,—,—,,30720,137,113,89,137,107,97,680,113.33,FALSE
Nihilego,Rock,Poison,Beast Boost,—,—,—,—,,30720,109,53,47,127,131,103,570,95.00,FALSE
Buzzwole,Bug,Fighting,Beast Boost,—,—,—,—,,30720,107,139,139,53,53,79,570,95.00,FALSE
Pheromosa,Bug,Fighting,Beast Boost,—,—,—,—,,30720,71,137,37,137,37,151,570,95.00,FALSE
Xurkitree,Electric,—,Beast Boost,—,—,—,—,,30720,83,89,71,173,71,83,570,95.00,FALSE
Celesteela,Steel,Flying,Beast Boost,—,—,—,—,,30720,97,101,103,107,101,61,570,95.00,FALSE
Kartana,Grass,Steel,Beast Boost,—,—,—,—,,30720,59,181,131,59,31,109,570,95.00,FALSE
Guzzlord,Dark,Dragon,Beast Boost,—,—,—,—,,30720,223,101,53,97,53,43,570,95.00,FALSE
Necrozma,Psychic,—,Beast Boost,—,—,—,—,,30720,97,107,101,127,89,79,600,100.00,FALSE
Magearna,Steel,Fairy,Soul Heart,—,—,Undiscovered,—,000,0,80,95,115,130,115,65,600,100.00,FALSE
